track id,track name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0qxYx4F3vm1AOnfux6dDxP,You Can Call Me Al,Paul Simon,0.776,0.763,5.0,-8.124,1.0,0.0535,0.182,0.0065,0.077,0.82,128.433
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,0.578,0.817,0.0,-6.542,1.0,0.0363,0.183,3.06e-06,0.285,0.726,141.621
6UBjSnyP1O5W5ndJoO9vUk,Night Moves,Bob Seger,0.705,0.743,1.0,-6.631,1.0,0.042,0.432,0.0133,0.103,0.374,118.552
1b7LMtXCXGc2EwOIplI35z,Stuck In The Middle With You,Stealers Wheel,0.795,0.564,7.0,-10.482,1.0,0.0392,0.0934,0.000531,0.0631,0.961,124.166
4ePP9So5xRzspjLFVVbj90,Two Princes,Spin Doctors,0.543,0.912,7.0,-10.71,1.0,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,0.491,0.802,4.0,-7.106,1.0,0.0392,0.25,0.0,0.387,0.472,119.25
70mAceS5ArAqVj2OwDE4db,Jump in the Line,Harry Belafonte,0.606,0.8,9.0,-9.624,0.0,0.323,0.677,0.0,0.595,0.85,113.864
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,0.573,0.902,6.0,-7.638,0.0,0.054,0.018,0.00125,0.0928,0.876,84.412
2g2GkH3vZHk4lWzBjgQ6nY,(What A) Wonderful World,Sam Cooke,0.691,0.507,11.0,-10.23,1.0,0.0343,0.627,0.0,0.457,0.885,128.518
6vxHp3CDNo0afgKGp2yi1E,Me and Julio Down by the Schoolyard,Paul Simon,0.626,0.816,9.0,-10.593,1.0,0.13,0.237,1.8e-06,0.104,0.798,105.33
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,The Beatles,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631
64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis Presley,0.357,0.756,0.0,-8.492,1.0,0.0621,0.733,0.00505,0.76,0.95,174.797
6yl8Es1tCYD9WdSkeVLFw4,You Shook Me All Night Long,AC/DC,0.529,0.768,7.0,-5.51,1.0,0.0566,0.00224,0.00075,0.297,0.769,127.316
3v8PlUFGQQDBIk1J86waCo,Should I Stay or Should I Go - Remastered,The Clash,0.742,0.844,2.0,-6.441,1.0,0.111,0.0838,0.0,0.418,0.85,113.371
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,Bryan Adams,0.508,0.834,2.0,-6.205,1.0,0.0386,0.0183,0.0,0.0732,0.774,139.131
3iSws76HjaU7k49EqJVTfF,"Sugar, Sugar",The Archies,0.736,0.871,2.0,-2.786,1.0,0.0278,0.466,0.0,0.108,0.967,122.395
1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band,0.653,0.677,0.0,-12.244,1.0,0.0396,0.249,0.0,0.403,0.888,114.37
7HKez549fwJQDzx3zLjHKC,Start Me Up - Remastered,The Rolling Stones,0.631,0.932,5.0,-4.142,1.0,0.0354,0.0436,0.137,0.0918,0.971,122.429
7lL2lMWNtzOcf5HnEudNgn,Everyday People,Sly & The Family Stone,0.813,0.619,7.0,-8.203,1.0,0.0294,0.245,0.0151,0.113,0.774,114.58
3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0.601,0.532,10.0,-9.119,1.0,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
27L8sESb3KR79asDUBu8nW,Stacy's Mom,Fountains Of Wayne,0.774,0.75,11.0,-4.927,0.0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015
7mnGQesk1TzQLzQ9bYWZPR,She's so High,Tal Bachman,0.537,0.84,9.0,-4.626,1.0,0.0363,0.2,2.15e-06,0.0998,0.211,124.269
0ACACkoHUwgfgY5CxVIL4N,Lovely Day,Bill Withers,0.693,0.565,9.0,-12.583,1.0,0.0345,0.194,0.000175,0.0806,0.692,97.937
4uOKFydzAejjSFqYbv1XPt,Red Red Wine,UB40,0.857,0.468,1.0,-8.53,1.0,0.0476,0.00414,1.32e-05,0.269,0.843,89.119
714hERk9U1W8FMYkoC83CO,You Sexy Thing,Hot Chocolate,0.791,0.734,5.0,-5.464,1.0,0.0629,0.522,0.00165,0.167,0.962,105.854
01gwPP2h3ajRnqiIphUtR7,ABC,The Jackson 5,0.725,0.804,8.0,-7.84,1.0,0.0393,0.426,0.000504,0.108,0.961,93.668
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,The Turtles,0.584,0.367,6.0,-9.638,0.0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175
2I43coEbzFSTMGO3kCjLMB,Daylight,Matt and Kim,0.583,0.79,9.0,-4.885,1.0,0.0319,0.0851,0.000387,0.11,0.714,103.286
11CeyEFt21BvAICfd4U8FA,Cecilia - Single Mix,Simon & Garfunkel,0.675,0.849,0.0,-9.68,1.0,0.0386,0.409,1.31e-05,0.0916,0.965,104.765
0cx32rX0uZvcJUP92Wkj2y,Wouldn't It Be Nice - Remastered,The Beach Boys,0.429,0.543,5.0,-9.139,1.0,0.0347,0.536,2.54e-05,0.125,0.693,122.619
2Cy7QY8HPLk925AyNAt6OG,Black or White - Single Version,Michael Jackson,0.741,0.894,4.0,-3.826,1.0,0.0495,0.0824,0.0527,0.089,0.96,114.869
5xC8uOesnn0udeXAYlAnoY,Alright,Supergrass,0.467,0.958,4.0,-4.808,0.0,0.0775,0.000479,0.199,0.299,0.701,145.92
4VywXu6umkIQ2OS0m1I79y,Better Together,Jack Johnson,0.868,0.347,5.0,-9.529,1.0,0.0536,0.308,2e-05,0.11,0.659,110.059
35kyKr5ArvTnFlldwR7JAD,Move Your Feet,Junior Senior,0.747,0.904,9.0,-2.623,1.0,0.0803,0.046,0.106,0.203,0.846,118.877
2DyHhPyCZgZzNXn1IrtsTu,Any Way You Want It,Journey,0.519,0.934,7.0,-7.137,1.0,0.0471,0.000312,0.00457,0.137,0.586,138.162
2id8E4WvczfKHB4LHI7Np3,Edge of Seventeen,Stevie Nicks,0.59,0.828,0.0,-6.28,1.0,0.0439,0.277,5.57e-06,0.0868,0.636,111.353
4vEXJ6NvEwS8ptynkNswaa,You're My Best Friend - Remastered 2011,Queen,0.518,0.761,0.0,-7.025,1.0,0.0452,0.158,0.00765,0.0715,0.576,118.738
5RKZ9zCtLjBLTea7qkSFqr,I'm a Believer,The Monkees,0.519,0.772,0.0,-6.784,1.0,0.0331,0.534,1.21e-05,0.271,0.961,79.618
0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,0.56,0.936,3.0,-5.835,1.0,0.0439,0.00847,0.0,0.161,0.371,112.96
0jWgAnTrNZmOGmqgvHhZEm,What's Up?,4 Non Blondes,0.565,0.564,2.0,-10.044,1.0,0.0292,0.161,0.0,0.114,0.454,134.355
24YvUQnuPL8gObCfSnAobH,"Hey, Soul Sister",Train,0.677,0.89,1.0,-4.448,0.0,0.0418,0.182,0.0,0.0826,0.764,97.012
6bUNEbXT7HovLW6BgPCBsb,Roses,OutKast,0.751,0.708,0.0,-5.645,1.0,0.0545,0.0481,1.83e-05,0.107,0.509,108.97
1P49MJhU5vzttesFxw3dOM,Three Little Birds,Bob Marley & The Wailers,0.807,0.487,9.0,-10.456,1.0,0.0758,0.0102,1.98e-06,0.0501,0.651,148.491
2B4LcSLZTDmTIFgKpjScjR,You're The One That I Want - From “Grease”,John Travolta,0.739,0.766,0.0,-6.023,1.0,0.0785,0.193,7.28e-05,0.137,0.862,106.6
1bp2IO61zbQrbWNmKKxg3f,The Joker,Steve Miller Band,0.596,0.448,5.0,-9.616,1.0,0.0396,0.365,5.3e-06,0.206,0.796,83.293
5J0S5UgpCwlmEagrqgzvoC,Wake Me up Before You Go-Go,Wham!,0.612,0.738,0.0,-6.648,1.0,0.0479,0.192,0.0,0.0779,0.883,81.327
5AoTuHE5P5bvC7BBppYnja,Respect - 2003 Remaster,Aretha Franklin,0.744,0.612,0.0,-6.386,1.0,0.0333,0.0723,0.000532,0.0692,0.961,114.991
2HvtedoEeymVWrBPyAMNwZ,SUPERBLOOM,MisterWives,0.558,0.889,8.0,-3.945,1.0,0.102,0.191,0.000387,0.328,0.716,170.102
1TF8rXy87zrnpBlS9TLykA,Cry (with John Martin),Gryffin,0.458,0.802,1.0,-3.914,1.0,0.0416,0.0155,0.0,0.0706,0.51,145.135
1nYeVF5vIBxMxfPoL0SIWg,Hallucinate,Dua Lipa,0.627,0.69,10.0,-5.396,0.0,0.139,0.033,0.0,0.0742,0.627,122.053
3kwgqoBqTwoAH4nT29TYrq,Nobody's Love,Maroon 5,0.486,0.567,1.0,-6.456,1.0,0.0379,0.31,0.0,0.0949,0.154,93.68
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,0.611,0.797,6.0,-7.627,0.0,0.0533,0.00543,0.00137,0.26,0.518,120.041
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998
59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,Jason Derulo,0.789,0.711,2.0,-4.248,1.0,0.041,0.0332,0.0,0.0876,0.753,112.985
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),Joel Corry,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
5f1joOtoMeyppIcJGZQvqJ,Be Like That - feat. Swae Lee & Khalid,Kane Brown,0.727,0.626,7.0,-8.415,1.0,0.0726,0.0469,2.58e-05,0.126,0.322,86.97
64lsIF5pw0sJY0gV5kz0RN,Can I Call You Tonight?,Dayglow,0.641,0.842,9.0,-7.27,1.0,0.0292,0.132,0.91,0.419,0.5,129.98
4nK5YrxbMGZstTLbvj6Gxw,Supalonely,BENEE,0.863,0.631,7.0,-4.689,1.0,0.0534,0.305,3.04e-05,0.123,0.817,128.977
2D0dj3hVkRQJCp63cxCPEx,Stunnin' (feat. Harm Franklin),Curtis Waters,0.885,0.685,11.0,-6.429,0.0,0.0627,0.33,0.0,0.148,0.937,99.954
0l4AReW2LuX0yStPfgQgSR,Giants,Dermot Kennedy,0.579,0.839,8.0,-5.409,0.0,0.0703,0.0145,3.04e-05,0.201,0.589,158.141
518miTxc3a15X7HB8FgJUW,Learn To Fly,Surfaces,0.569,0.536,1.0,-6.137,1.0,0.0819,0.554,0.0,0.0655,0.656,173.695
6JqYhSdTE4WbQrMXxPH5cD,Honeypie,JAWNY,0.742,0.678,5.0,-4.605,0.0,0.192,0.0698,0.0,0.151,0.927,115.05
1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jawsh 685,0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076
0dZpw3h6KZhcHec61qwevZ,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,0.824,0.854,8.0,-5.312,1.0,0.177,0.016,4.95e-05,0.117,0.896,95.114
7szuecWAPwGoV1e5vGu8tl,In Your Eyes,The Weeknd,0.667,0.719,7.0,-5.371,0.0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
7piFoJog4nNUCfnpOzFzSO,Little Bit Of Love - Indian Summer Remix,JP Cooper,0.708,0.758,7.0,-4.453,1.0,0.0367,0.0133,1.04e-05,0.418,0.272,101.017
6wXgnhpmOPEJ7cUweSyy2B,Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,0.73,0.792,6.0,-5.33,0.0,0.13,0.0264,0.0,0.101,0.745,99.039
1b3nlcP6hogIzYRVK2Ui7K,Wherever You Are,Kodaline,0.514,0.612,4.0,-5.981,1.0,0.0298,0.142,0.0,0.0868,0.342,125.99
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Lady Gaga,0.672,0.855,9.0,-3.764,1.0,0.0397,0.021,0.0,0.323,0.646,123.056
5id3Rqn7SPj1LX4FfY4nGz,Together,Sia,0.521,0.877,7.0,-5.444,1.0,0.0683,0.0132,0.0806,0.0929,0.199,180.007
4uqh9bualXNHXXwO2wPorc,Daisies,Katy Perry,0.639,0.546,1.0,-5.382,1.0,0.0407,0.0837,0.0,0.122,0.149,122.179
